,match_id,team,against,h_a,player,nationality,age,minutes,shots_on_target_against,goals_against_gk,saves,save_pct,psxg_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,avg_distance_def_actions_gk
0,7794fd6c,Manchester Utd,Newcastle Utd,home,David de Gea,es ESP,30-308,90,4,1,3,75.0,1.6,2,2,100.0,6,1,16.7,28.3,7,14.3,24.9,3,0,0.0,0,10.0
1,7794fd6c,Newcastle Utd,Manchester Utd,away,Freddie Woodman,eng ENG,24-191,90,6,4,2,33.3,1.9,11,27,40.7,29,0,75.9,54.8,9,55.6,43.8,9,1,11.1,0,10.6
